编号,类别,处理方式,首次出现,出现次数,中文,English
1302,仓库文档,已有英文版/不进包,README.en.md:14,1,- Windows: `安装并启动 Lulu.cmd`. SmartScreen will warn once: *More info → Run anyway*.,- Windows: `安装并启动 Lulu.cmd`. SmartScreen will warn once: *More info → Run anyway*.
1303,仓库文档,已有英文版/不进包,README.en.md:3,1,[中文](README.md),[Chinese](README.md)
1304,仓库文档,已有英文版/不进包,README.md:11,1,## 安装,## Installation
1305,仓库文档,已有英文版/不进包,README.md:13,1,到 [Releases](../../releases) 下载你系统的 zip，解压到任意位置，双击：,"Download the ZIP for your system from [Releases](../../releases), extract it anywhere, and double-click:"
1306,仓库文档,已有英文版/不进包,README.md:15,1,"- macOS：`安装并启动 Lulu.command`（第一次系统会提示""无法验证开发者""，脚本会自动处理；仍被拦就到 系统设置 → 隐私与安全性 点""仍要打开""）","- macOS: `安装并启动 Lulu.command` (on first launch, macOS may say the developer can't be verified. The script handles this automatically. If it's still blocked, go to System Settings → Privacy & Security → Open Anyway)."
1307,仓库文档,已有英文版/不进包,README.md:16,1,- Windows：`安装并启动 Lulu.cmd`（SmartScreen 会拦一次：更多信息 → 仍要运行）,- Windows: `安装并启动 Lulu.cmd` (SmartScreen may block it once: More info → Run anyway).
1308,仓库文档,已有英文版/不进包,README.md:18,1,第一次运行会问你要不要下载本地模型（需要先装 [Ollama](https://ollama.com/download)，模型 2.5–5GB）。不装也能打开，在设置页改用 API。之后每次双击同一个文件就是启动。删掉文件夹就是卸载；你的数据在 `~/Library/Application Support/Lulu`（macOS）/ `%LOCALAPPDATA%\Lulu`（Windows）。,"On first launch, you'll be asked whether to download a local model (install [Ollama](https://ollama.com/download) first; models are 2.5–5 GB). You can open Lulu without one and switch to an API in Settings. Double-click the same file to launch it again. Delete the folder to uninstall. Your data is stored in `~/Library/Application Support/Lulu` (macOS) / `%LOCALAPPDATA%\Lulu` (Windows)."
1309,仓库文档,已有英文版/不进包,README.md:20,1,包里自带全部动画（约 400MB）和运行环境，不需要装 Python。详见包里的 `先看这里.md`。,All animations (about 400 MB) and the runtime are included. No Python installation needed. See `先看这里.md` in the package for details.
1310,仓库文档,已有英文版/不进包,README.md:22,1,## 现状,## Current status
1311,仓库文档,已有英文版/不进包,README.md:24,1,"0.9（2026-09）：macOS 包已在真机走过完整测试；Windows 包由 CI 产出，尚未在真机验收。复杂版式的文档转换、扫描版 PDF 的 OCR 暂不支持；本地小模型在长文和多步任务上会有错，程序会尽量把""没查到""""没核对过""如实告诉你，而不是编。欢迎提 issue。",0.9 (2026-09): the macOS package has completed full testing on a real Mac. The Windows package is built by CI and hasn't been accepted on a real device yet. Complex document layouts and OCR for scanned PDFs aren't supported. Small local models can make mistakes with long texts and multi-step tasks. The program tries to tell you honestly when it couldn't find or verify something instead of making it up. Issues are welcome.
1312,仓库文档,已有英文版/不进包,README.md:28,1,## 给开发者,## For developers
1313,仓库文档,已有英文版/不进包,README.md:30,1,### 技能表（0.5 起）,### Skill registry (since 0.5)
1314,仓库文档,已有英文版/不进包,README.md:32,1,Lulu 只做九件事（0.6 加了翻译），每件事是一条固定程序，模型只在其中一两个槽位出场（`lulu/skills.py`）：转换格式、生成文档、总结/提取、记录（笔记或长期记忆）、提醒/闹钟（`lulu/timeparse.py` 解析中文时间与重复）、查询（本地文件 + 联网核对）、记忆问答（我记得什么 / 忘掉某条）、闲聊。路由规则优先（`route_rules()`），决定性句式命中就不调分类模型；问句一律算查询（有搜索钥匙就联网，没资料就按模型知识回答并标注）；生成文档必须先有材料或要点，否则零模型调用直接问；缺槽位（哪个文件、什么格式、什么时间、忘掉哪条）时程序发定向问题，带选项，用户答复后同一任务从原地继续。两件事写在一句里（既要记住又要生成文件）走通用循环兜底。,"Lulu handles nine types of task (translation was added in 0.6). Each follows a fixed program flow, with the model used at only one or two points (`lulu/skills.py`): format conversion, document creation, summarization/extraction, notes or long-term memory, reminders/alarms (`lulu/timeparse.py` parses Chinese times and repeats), search (local files + verified web information), memory Q&A (what I remember / forget an item), and chat. Routing rules come first (`route_rules()`); decisive phrasing skips model classification. Questions route to search (online when a search key is available; otherwise, without sources, an answer from model knowledge is labeled as such). New documents need sources or key points first; if missing, the program asks without calling the model. Missing details (which file, format, time, or memory to forget) trigger targeted questions with options. The same task resumes after the reply. Requests combining two actions, such as remembering something and creating a file, use the general loop as a fallback."
1315,仓库文档,已有英文版/不进包,README.md:34,1,"模型只剩五种提示词：起草、摘要、字段提取、联网事实核对、记忆命名，每种都有 schema 和程序验收（数字必须有来源、原文标签事实必须保留、引用必须逐字命中）。对话结束后程序按原话抽取""值得记住的事""作为候选，用户在记忆页采纳才会存。","The model uses five kinds of prompt: drafting, summarizing, field extraction, web fact checking, and memory naming. Each has a schema and program checks: numbers need sources, labeled source facts must be kept, and quotes must match exactly. After a chat, the program extracts potentially useful memories from the user's own words. They are saved only after the user accepts them on the Memory page."
1316,仓库文档,已有英文版/不进包,README.md:36,1,### 这一版如何运行,### How this version runs
1317,仓库文档,已有英文版/不进包,README.md:38,1,每个任务按阶段推进并逐步落库：`classifying`（一次 schema 约束的意图分类，程序用规则校正）→ `planning`（证据需求与完成条件）→ `gathering`（固定流程、读取用户提到的文件、实时行情适配器）→ `executing`（模型工具循环，每步写入 `task_steps`）→ 验收 → 完成。任一阶段缺少必需信息时进入持久的 `awaiting_input`，用户答复后同一个任务从中断的阶段继续；已生成且哈希未变的产物不会重做。,"Each task advances through stages, saving progress as it goes: `classifying` (one schema-constrained intent classification, corrected by rules) → `planning` (evidence requirements and completion criteria) → `gathering` (fixed flow, reading user-named files, real-time market adapters) → `executing` (model/tool loop, with every step written to `task_steps`) → verification → completion. Missing essential information at any stage puts the task into persistent `awaiting_input`. The same task resumes from the interrupted stage after the user's reply. Existing outputs with unchanged hashes aren't recreated."
1318,仓库文档,已有英文版/不进包,README.md:40,1,"撰写器返回结构化 JSON（`status / body_markdown / assumptions / questions`），由程序做三层验收：结构、与证据的一致性（统计数值回填、来源事实保留、实时任务必须有适配器或用户证据）、内容（伪正文正则命中时再由模型二选一判别，问卷/确认函/清单/模板类不拦）。撰写器自行确定的口径会写进文档末尾的""口径说明""。","The writer returns structured JSON (`status / body_markdown / assumptions / questions`). The program checks three layers: structure; consistency with evidence (statistics included, source facts preserved, and real-time tasks backed by adapter or user evidence); and content (if patterns detect an explanation posing as body text, the model makes a binary classification; questionnaires, confirmation letters, checklists, and templates are exempt). Scope and definitions chosen by the writer are added at the end under “Scope and definitions”."
1319,仓库文档,已有英文版/不进包,README.md:42,1,"联网走通用检索（`lulu/research.py` + `lulu/websearch.py`）：程序生成 1–3 条查询 → 依次尝试 Bing、DuckDuckGo、百度（无需密钥，可在 config 里调整顺序）→ 并发抓取前几页并提取正文与页面摘要 → 模型只能以""网页原文逐字引用""的形式列出事实，程序逐条核对引用确实出现在该网页里，核对不过的一律丢弃 → 撰写器只拿核对过的事实写作 → 正文里每个数字都必须来自核对过的原文或用户原话，否则打回重写；口头回答同理，含无来源数字的回答会被程序按核对过的事实重写并附来源。搜索失败按网络不通、引擎拒绝访问（需人工验证）、无结果、网页抓取失败、找不到可核对内容分类，用户可选择换个说法、上传资料或改为模板。","Web research uses `lulu/research.py` + `lulu/websearch.py`: generate 1–3 queries → try Bing, DuckDuckGo, and Baidu in order (no key needed; order is configurable) → fetch the first few pages concurrently and extract body text and summaries → have the model list facts only with exact page quotations, which the program checks and discards if unmatched → write using verified facts only → check that every number comes from a verified passage or the user's own words, otherwise request a rewrite. The same applies to chat replies: unsupported numbers trigger a rewrite using verified facts with sources. Failures are classified as no network, access denied/human verification needed, no results, page-fetch failure, or no verifiable content. Users can try another search, upload sources, or switch to a template."
1320,仓库文档,已有英文版/不进包,README.md:44,1,超时与上下文预算由 `lulu/budget.py` 按实测速度推导（`POST /api/budget/measure`），内存低于 12GB 的机器自动落到 A 档（4096 上下文、更短提示词）。,"Timeouts and context budgets are calculated from measured speed by `lulu/budget.py` (`POST /api/budget/measure`). Computers with less than 12 GB RAM automatically use tier A (4,096-token context and shorter prompts)."
1321,仓库文档,已有英文版/不进包,README.md:46,1,### 目录,### Directory structure
1322,仓库文档,已有英文版/不进包,README.md:48,1,- `lulu/loop.py` 循环与阶段；`lulu/intent.py` 意图；`lulu/writer.py` 起草与验收；`lulu/tools.py` 本地能力；`lulu/models.py` 模型适配器（Ollama / OpenAI 兼容）；`lulu/budget.py` 预算；`lulu/research.py` 联网检索与事实核对；`lulu/websearch.py` 搜索引擎与抓取；`lulu/store.py` SQLite（FTS5 记忆检索、精准删除、任务步骤与证据）；`lulu/server.py` 本机 API。,"- `lulu/loop.py`: loop and stages; `lulu/intent.py`: intent; `lulu/writer.py`: drafting and checks; `lulu/tools.py`: local tools; `lulu/models.py`: model adapters (Ollama / OpenAI-compatible); `lulu/budget.py`: budgets; `lulu/research.py`: web research and fact checking; `lulu/websearch.py`: search engines and page fetching; `lulu/store.py`: SQLite (FTS5 memory search, targeted deletion, task steps, and evidence); `lulu/server.py`: local API."
1323,仓库文档,已有英文版/不进包,README.md:49,1,- `desktop/` Godot 窗口与桌宠：工作窗口的对话页有标签行（翻译 · 总结 · 改写润色 · 问文件 · 提取成表 · 按要点写 · 转格式 · 记一下 · 提醒 · 查一下 · 聊聊天）+ 选文件；点标签锁定技能。0.7 起浏览器面板已移除，只有桌面版。,- `desktop/`: Godot windows and desktop pet. The Chat page has task tabs (Translate · Summarize · Rewrite · Ask about a file · Make a table · Write from notes · Convert · Remember this · Remind me · Look it up · Chat) and a file picker. Choosing a tab locks the skill. The browser panel was removed in 0.7; only the desktop version remains.
1324,仓库文档,已有英文版/不进包,README.md:5,1,一只住在桌面右下角的小桌宠，旁边是一个工作窗口。它帮你做办公室里最常见的几件小事，模型跑在你自己的电脑上（也可以接你自己的 API 或 `claude -p`），对话、笔记、提醒和生成的文件都只留在本机。,"A little pet lives in the bottom-right corner of your desktop, with a work window nearby. Lulu helps with everyday office tasks. The model runs on your own computer, or you can connect your own API or `claude -p`. Chats, notes, reminders, and generated files are stored locally."
1325,仓库文档,已有英文版/不进包,README.md:50,1,- `tests/` 脚本模型回归；`tests/live_acceptance.py` 真实模型验收（低配报告 6 用例 + 两次原始失败 + 续办）。,"- `tests/`: scripted-model regression tests; `tests/live_acceptance.py`: real-model acceptance tests (six report cases for lower-spec machines, two original failures, and task resumption)."
1326,仓库文档,已有英文版/不进包,README.md:52,1,### 开发环境,### Development setup
1327,仓库文档,已有英文版/不进包,README.md:54,1,Python 3.11+，`pip install -r requirements.txt -c constraints.txt`；本地模型用 `安装本地模型.command`（Mac）或 `安装本地模型.cmd`（Windows）按内存拉 Qwen3 档位。走 API / `claude -p` / 其他命令行时不需要 Ollama。,"Python 3.11+; `pip install -r requirements.txt -c constraints.txt`. For local models, use `安装本地模型.command` (Mac) or `安装本地模型.cmd` (Windows) to download the Qwen3 model size suited to your RAM. API / `claude -p` / other command-line backends don't need Ollama."
1328,仓库文档,已有英文版/不进包,README.md:57,1,python3 -m pytest tests -q                 # 脚本模型回归，无需 Ollama,python3 -m pytest tests -q                 # Scripted-model regression tests; no Ollama needed
1329,仓库文档,已有英文版/不进包,README.md:58,1,"python3 tests/live_acceptance.py           # 真实模型验收（断网也可跑，实时用例会验证""正确暂停""）",python3 tests/live_acceptance.py           # Real-model acceptance tests (also works offline; real-time cases check that tasks pause correctly)
1330,仓库文档,已有英文版/不进包,README.md:59,1,python3 tests/live_acceptance.py --online  # 联网：BTC 各平台价格 Word、带来源的问答、技术事实问答,"python3 tests/live_acceptance.py --online  # Online: BTC price Word reports across platforms, sourced Q&A, and technical fact Q&A"
1331,仓库文档,已有英文版/不进包,README.md:60,1,python3 -m lulu.websearch 今日BTC价格        # 看每个搜索引擎在这台机器上能否用、抓到什么；解析失败的页面存到 ./search-debug,"python3 -m lulu.websearch ""BTC price today"" # Check which search engines work on this machine and what they fetch; pages that fail parsing are saved to ./search-debug"
1332,仓库文档,已有英文版/不进包,README.md:61,1,python3 run.py                             # 浏览器面板 http://127.0.0.1:8766,python3 run.py                             # Browser panel at http://127.0.0.1:8766
1333,仓库文档,已有英文版/不进包,README.md:64,1,### 配置,### Configuration
1334,仓库文档,已有英文版/不进包,README.md:66,1,"`config.json`（0.6）：`{""backend"":""ollama|api|claude_cli|cli"",""tier"":""auto|4b|8b|custom"",""think"":false,""ollama"":{…},""api"":{""preset"":""dashscope"",""base"":…,""model"":…,""think_param"":""enable_thinking""},""claude_cli"":{""command"":""claude""},""cli"":{""command"":""codex exec … {output_file}""},""search"":{""provider"":""auto|bocha|tavily|brave|engines|none""}}`。旧版 `{""model"":""qwen2.5:7b""}` 仍能读（自动当作自定义档位）。钥匙一律存 `data/secrets.json`（0600）：`python -m lulu.backends secret api_key|bocha_key|tavily_key|brave_key`。命令行：`python -m lulu.backends status|probe|models|set backend=api api.preset=deepseek`；`python -m lulu.searchapi 今日新闻` 试搜索。走接口或命令行意味着请求和资料离开本机，状态栏和“模型”页会常驻提示。","`config.json` (0.6): `{""backend"":""ollama|api|claude_cli|cli"",""tier"":""auto|4b|8b|custom"",""think"":false,""ollama"":{…},""api"":{""preset"":""dashscope"",""base"":…,""model"":…,""think_param"":""enable_thinking""},""claude_cli"":{""command"":""claude""},""cli"":{""command"":""codex exec … {output_file}""},""search"":{""provider"":""auto|bocha|tavily|brave|engines|none""}}`. Older `{""model"":""qwen2.5:7b""}` configs still work and are treated as a custom tier. Keys are always saved in `data/secrets.json` (0600): `python -m lulu.backends secret api_key|bocha_key|tavily_key|brave_key`. CLI: `python -m lulu.backends status|probe|models|set backend=api api.preset=deepseek`; try search with `python -m lulu.searchapi ""today's news""`. API or command-line use sends requests and information off the machine, with a persistent notice in the status bar and on the “Model” page."
1335,仓库文档,已有英文版/不进包,README.md:68,1,### 打包,### Packaging
1336,仓库文档,已有英文版/不进包,README.md:7,1,**能做的事（工作窗口里点标签）：** 翻译 · 总结 · 改写润色 · 问文件 · 提取成表 · 按要点写 · 转格式 · 记一下 · 提醒 · 查一下 · 聊聊天。,**What Lulu can do (choose a tab in the work window):** Translate · Summarize · Rewrite · Ask about a file · Make a table · Write from notes · Convert · Remember this · Remind me · Look it up · Chat.
1337,仓库文档,已有英文版/不进包,README.md:70,1,桌宠是 Godot 导出版，动画帧单独打成 `frames.pck`；Python 运行环境用 PyInstaller 冻结；用户拿到的是一个文件夹，双击 `安装并启动 Lulu.command`（macOS）/ `安装并启动 Lulu.cmd`（Windows）。,"The desktop pet is a Godot export, with animation frames in a separate `frames.pck`. The Python runtime is frozen with PyInstaller. Users get a folder and double-click `安装并启动 Lulu.command` (macOS) / `安装并启动 Lulu.cmd` (Windows)."
1338,仓库文档,已有英文版/不进包,README.md:73,1,"python packaging/export_pet.py                      # 导出桌宠：build/pet/{linux,windows,macos}/ + frames.pck（首次自动下载导出模板 1.2GB）","python packaging/export_pet.py                      # Export pet: build/pet/{linux,windows,macos}/ + frames.pck (downloads 1.2 GB export templates on first run)"
1339,仓库文档,已有英文版/不进包,README.md:74,1,python packaging/build_release.py --platform macos             # 组装 dist/Lulu-<版本>-macos/ + zip + sha256，动画包在里面（--runtime 指向冻结的 LuluRuntime 目录则不需 Python）,"python packaging/build_release.py --platform macos             # Assemble dist/Lulu-<version>-macos/ + ZIP + SHA256, including animations (--runtime points to a frozen LuluRuntime folder to remove the Python requirement)"
1340,仓库文档,已有英文版/不进包,README.md:77,1,`.github/workflows/release.yml`：推 `v*` 标签或手动运行，CI 在 ubuntu 导出桌宠、在 windows/macos 冻结运行环境、组装安装包（动画包永远在里面；只有一种包），挂到草稿 Release。动画包放在名为 `assets-v1` 的 Release 里（`gh release create assets-v1 build/pet/frames.pck`）。,"`.github/workflows/release.yml`: push a `v*` tag or run manually. CI exports the pet on Ubuntu, freezes runtimes on Windows/macOS, assembles the package (always including animations; only one package type), and attaches it to a draft Release. The animation pack is stored in the `assets-v1` Release (`gh release create assets-v1 build/pet/frames.pck`)."
1341,仓库文档,已有英文版/不进包,README.md:79,1,### 尚未完成,### Still to do
1342,仓库文档,已有英文版/不进包,README.md:81,1,Windows / macOS 真机安装验收（签名提示、SmartScreen）；LICENSE；A 档（3B/4B）模型接入与复测；记忆自动抽取（当前只保存用户明确要求记住的内容）；DOCX 转 PDF 仍为文本重建。,Real-device installation acceptance on Windows / macOS (signing prompts and SmartScreen); LICENSE; tier A (3B/4B) model integration and retesting; automatic memory extraction (currently only explicitly requested memories are saved); DOCX-to-PDF still rebuilds from text.
1343,仓库文档,已有英文版/不进包,README.md:9,1,"**模型：** 默认本机 Ollama 上的 Qwen3（16GB 内存以上用 8B 混合模型，以下用 4B 双模型），推理默认关、可在设置里打开；也可以切到 OpenAI 兼容 API（通义千问 / DeepSeek / OpenRouter / LM Studio…）、`claude -p`，或任意命令行工具。走接口时窗口里会常驻提示""资料会离开本机""。","**Models:** defaults to Qwen3 on local Ollama (one hybrid 8B model above 16 GB RAM; two 4B models below). Thinking is off by default and can be enabled in Settings. You can also use an OpenAI-compatible API (Qwen / DeepSeek / OpenRouter / LM Studio…), `claude -p`, or any command-line tool. API use shows a persistent “Information will leave this Mac” notice."
1344,仓库文档,已有英文版/不进包,THIRD-PARTY-NOTICES.md:1,1,# 第三方组件,# Third-party components
1345,仓库文档,已有英文版/不进包,THIRD-PARTY-NOTICES.md:3,1,Lulu Agent 的后端依赖以下 Python 包（许可证见各项目）：aiohttp（Apache-2.0）、httpx（BSD-3）、jsonschema（MIT）、python-docx（MIT）、openpyxl（MIT）、pypdf（BSD-3）、reportlab（BSD）、filelock（Unlicense）。,"Lulu Agent's backend depends on these Python packages (see each project for its license): aiohttp (Apache-2.0), httpx (BSD-3), jsonschema (MIT), python-docx (MIT), openpyxl (MIT), pypdf (BSD-3), reportlab (BSD), and filelock (Unlicense)."
1346,仓库文档,已有英文版/不进包,THIRD-PARTY-NOTICES.md:5,1,运行组件：Ollama（MIT）、Godot Engine（MIT）、Qwen3 模型权重（Apache-2.0，由用户通过 Ollama 自行下载，不随包分发）、PyInstaller（GPL 附例外，冻结产物不受影响）。,"Runtime components: Ollama (MIT), Godot Engine (MIT), Qwen3 model weights (Apache-2.0, downloaded separately by the user through Ollama and not included in the package), and PyInstaller (GPL with an exception that permits frozen outputs)."
1347,仓库文档,已有英文版/不进包,THIRD-PARTY-NOTICES.md:7,1,桌宠动画帧（frames.pck）随 Release 分发，版权归项目作者。,Desktop pet animation frames (frames.pck) are distributed with Releases. Copyright belongs to the project author.
1348,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:1,1,"A canned model for UI work and demos: answers every schema plausibly without any model server.

Enabled with the environment variable LULU_FAKE_MODEL=1 (or backend ""fake"" in config). Nothing it says is real; the
work window shows it as 演示模型 so nobody mistakes a rehearsal for the product.","A canned model for UI work and demos: answers every schema plausibly without any model server.

Enabled with the environment variable LULU_FAKE_MODEL=1 (or backend ""fake"" in config). Nothing it says is real; the
work window shows it as Demo model so nobody mistakes a rehearsal for the product."
1349,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:15,1,演示模型,Demo model
1350,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:18,1,演示模型（不是真的模型）,Demo model (not a real model)
1351,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:33,1,（演示：这里本来是思考过程）,(Demo: thinking would appear here)
1352,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:37,2,用户请求,User request
1353,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:39,11,原文,Original text
1354,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:41,1,（演示摘要）,(Demo summary)
1355,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:46,1,[演示译文 →,[Demo translation → 
1356,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:46,2,目标语言,Target language
1357,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:48,1,（演示改写）,(Demo rewrite)
1358,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:50,2,文件内容,File contents
1359,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:52,1,（演示回答）,(Demo reply)
1360,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:54,2,表格列,Table columns
1361,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:55,1,"[一-鿿A-Za-z0-9]{2,}","[A-Za-z0-9]{2,}"
1362,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:59,1,演示文档,Demo document
1363,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:59,1,# 演示文档\n\n这是演示模型写的正文，只用来看界面。\n\n,# Demo document\n\nThis text was written by the demo model just to preview the interface.\n\n
1364,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:59,2,请求,Request
1365,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:67,1,演示记忆,Demo memory
1366,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:71,1,（演示回答）资料里没有可核对的内容。,(Demo reply) The sources contain nothing I can verify.
1367,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:72,1,用户：,User: 
1368,演示模型脚本,测试用，英文包可不译,lulu/fakemodel.py:73,1,（演示模型）我在，你说的是：,(Demo model) I'm here. You said: 
1369,配置与元数据,看情况,.gitignore:1,1,# 运行时数据与私人内容,# Runtime data and private content
1370,配置与元数据,看情况,.gitignore:14,1,# 构建产物,# Build outputs
1371,配置与元数据,看情况,.gitignore:18,1,# 桌宠动画帧（400MB，随 Release 的“动画资源包”分发，不进仓库）,"# Desktop pet animation frames (400 MB, distributed as the animation pack in Releases; not stored in the repository)"
1372,配置与元数据,看情况,.gitignore:23,1,# 本机验收记录（含本机路径）,# Local acceptance test records (include local paths)
1373,配置与元数据,看情况,desktop/export_presets.cfg:1,1,; Lulu 桌宠导出预设（Godot 4.4）。用 packaging/export_pet.py 一键导出，不必打开编辑器。,; Lulu desktop pet export presets (Godot 4.4). Export with packaging/export_pet.py; no need to open the editor.
1374,配置与元数据,看情况,desktop/export_presets.cfg:2,1,; 主程序（Linux / Windows / macOS）不带动画帧；动画帧单独导成 frames.pck（预设 3），启动时由 pet.gd 加载。,; The main app (Linux / Windows / macOS) excludes animation frames. Frames are exported separately to frames.pck (preset 3) and loaded by pet.gd at startup.
1375,配置与元数据,看情况,desktop/export_presets.cfg:73,1,"application/file_description=""Lulu 桌宠""","application/file_description=""Lulu desktop pet"""
1376,界面文案,直接替换,desktop/src/pet.gd:614,1,在做了，噼里啪啦～,On it — tap tap tap~
1377,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:1,1,# Lulu 一键安装并启动（Windows）。由“安装并启动 Lulu.cmd”调用；每次都可以双击：第一次补齐缺的东西，之后直接启动。,"# Lulu one-click install and start (Windows). Called by ""Install and start Lulu.cmd""; safe to double-click every time: the first run fills in what is missing, later runs just start."
1378,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:14,2,# 1) 动画资源包 --------------------------------------------------------------,# 1) Animation pack --------------------------------------------------------------
1379,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:18,1,if (-not $Url) { Fail '缺少动画资源包 pet\frames.pck，且没有下载地址。请重新下载 Lulu。' },if (-not $Url) { Fail 'The animation pack pet\frames.pck is missing and there is no download address. Please download Lulu again.' }
1380,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:19,1,Say '动画资源包不在，补下载（约 400MB）…',"Say 'Animation pack missing, downloading it (about 400 MB)…'"
1381,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:2,1,# 做的事：1) 动画资源包没有就下载并校验  2) 解除“来自网络”的锁定  3) 准备运行环境,"# Steps: 1) download and verify the animation pack if missing  2) remove the ""from the internet"" block  3) prepare the runtime"
1382,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:24,1,"} catch { Remove-Item -Force ""$Frames.part"" -ErrorAction SilentlyContinue; Fail '下载失败。请检查网络后重试，或重新下载 Lulu。' }","} catch { Remove-Item -Force ""$Frames.part"" -ErrorAction SilentlyContinue; Fail 'Download failed. Check your network and try again, or download Lulu again.' }"
1383,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:29,1,if ($Want -ne $Have) { Remove-Item -Force $Frames; Fail '动画资源包校验不通过（文件不完整），已删除，请再运行一次重新下载。' },if ($Want -ne $Have) { Remove-Item -Force $Frames; Fail 'The animation pack failed verification (incomplete file). It has been deleted; run this again to download it afresh.' }
1384,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:3,2,#         4) 没有 Ollama 就提示；有 Ollama 但没模型就问要不要现在下载  5) 启动 Lulu,"#        4) say so if Ollama is missing; if Ollama is there but the model is not, offer to download it  5) start Lulu"
1385,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:32,1,# 2) 解除下载文件的“来自网络”锁定，避免 SmartScreen 反复拦 -----------------------------,"# 2) Remove the ""from the internet"" block on downloaded files so SmartScreen stops interrupting -----------"
1386,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:33,1,Say '准备程序…',Say 'Preparing the program…'
1387,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:36,2,# 3) 运行环境：优先自带的 runtime；没有就用本机 Python 3.11+ 建 .venv ------------------------,# 3) Runtime: the bundled runtime first; otherwise build a .venv with the local Python 3.11+ ------------------------
1388,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:4,1,$ErrorActionPreference = 'Continue'  # 出错由脚本自己判断（native 命令的 stderr 在 Stop 模式下会误报）,$ErrorActionPreference = 'Continue'  # the script judges errors itself (native commands' stderr is misreported in Stop mode)
1389,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:40,1,Say '这是源码版，需要 Python 3.11 或更新…',Say 'This is the source edition; it needs Python 3.11 or newer…'
1390,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:52,1,Say '没有 Python 3.11+。用 winget 安装 Python 3.12（会弹出确认）…',Say 'No Python 3.11+. Installing Python 3.12 with winget (a confirmation will pop up)…'
1391,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:57,1,if (-not $Base) { Start-Process 'https://www.python.org/downloads/windows/'; Fail '请安装 Python 3.12（勾选 Add to PATH 和 py launcher）后再双击本文件；或改用自带运行环境的安装包。' },"if (-not $Base) { Start-Process 'https://www.python.org/downloads/windows/'; Fail 'Install Python 3.12 (tick Add to PATH and the py launcher), then double-click this file again; or use the package with the bundled runtime.' }"
1392,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:60,1,& $exe $arg -m venv (Join-Path $Root 'agent\.venv'); if ($LASTEXITCODE) { Fail '创建虚拟环境失败。' },& $exe $arg -m venv (Join-Path $Root 'agent\.venv'); if ($LASTEXITCODE) { Fail 'Could not create the virtual environment.' }
1393,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:64,1,Say '安装依赖（一次性）…',Say 'Installing dependencies (one time only)…'
1394,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:65,1,& $Py -m pip install -q -r agent\requirements.txt -c agent\constraints.txt; if ($LASTEXITCODE) { Fail '依赖安装失败，请把上面的错误发给开发者。' },& $Py -m pip install -q -r agent\requirements.txt -c agent\constraints.txt; if ($LASTEXITCODE) { Fail 'Dependency install failed. Please send the error above to the developer.' }
1395,安装脚本与说明,直接替换,packaging/installer/tools/安装并启动.ps1:70,2,# 4) 本地模型（可选：不装也能用 API / claude -p 等后端） ------------------------------------,# 4) Local model (optional: an API / claude -p backend works without it) ------------------------------------
